,name,version,success,mlp_layers_num,rff_num,lam_sdiv,do_divfree,lam_curl,lam_grads,lam_sfn,lam_weight,rec,spc,ang,model_path
0,RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:false-lsdv:1e-3-lgrd:0-lcrl:0-lsfn:0-ni:3,version_0,True,10.0,512.0,0.001,False,0.0,0.0,0.0,0.0001,0.0002861354732885957,60.731971740722656,0.6073164939880371,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:false-lsdv:1e-3-lgrd:0-lcrl:0-lsfn:0-ni:3-epoch=719-val_loss=0.00.ckpt
1,RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:false-lsdv:1e-3-lgrd:0-lcrl:1e-8-lsfn:0-ni:3,version_1,True,10.0,512.0,0.001,False,1e-08,0.0,0.0,0.0001,0.0014831083826720715,50.297386169433594,1.6028461456298828,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:false-lsdv:1e-3-lgrd:0-lcrl:1e-8-lsfn:0-ni:3-epoch=779-val_loss=0.00.ckpt
2,RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:false-lsdv:1e-3-lgrd:1e-5-lcrl:0-lsfn:0-ni:3,version_2,True,10.0,512.0,0.001,False,0.0,1e-05,0.0,0.0001,0.000297912978567183,74.53221893310547,0.5958878397941589,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:false-lsdv:1e-3-lgrd:1e-5-lcrl:0-lsfn:0-ni:3-epoch=799-val_loss=0.00.ckpt
3,RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:false-lsdv:1e-3-lgrd:1e-5-lcrl:1e-8-lsfn:0-ni:3,version_3,True,10.0,512.0,0.001,False,1e-08,1e-05,0.0,0.0001,0.001365368952974677,49.1517333984375,1.541892647743225,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:false-lsdv:1e-3-lgrd:1e-5-lcrl:1e-8-lsfn:0-ni:3-epoch=919-val_loss=0.00.ckpt
4,RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:false-lsdv:0-lgrd:0-lcrl:0-lsfn:0-ni:3,version_4,True,10.0,512.0,0.0,False,0.0,0.0,0.0,0.0001,0.00028632557950913906,66.77406311035156,0.6105973720550537,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:false-lsdv:0-lgrd:0-lcrl:0-lsfn:0-ni:3-epoch=259-val_loss=0.00.ckpt
5,RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:false-lsdv:0-lgrd:0-lcrl:1e-8-lsfn:0-ni:3,version_5,True,10.0,512.0,0.0,False,1e-08,0.0,0.0,0.0001,0.0014986998867243528,60.18897247314453,1.6133557558059692,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:false-lsdv:0-lgrd:0-lcrl:1e-8-lsfn:0-ni:3-epoch=279-val_loss=0.00.ckpt
6,RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:false-lsdv:0-lgrd:1e-5-lcrl:0-lsfn:0-ni:3,version_6,True,10.0,512.0,0.0,False,0.0,1e-05,0.0,0.0001,0.0004377080185804516,68.8671875,0.7072745561599731,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:false-lsdv:0-lgrd:1e-5-lcrl:0-lsfn:0-ni:3-epoch=299-val_loss=0.00.ckpt
7,RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:false-lsdv:0-lgrd:1e-5-lcrl:1e-8-lsfn:0-ni:3,version_7,True,10.0,512.0,0.0,False,1e-08,1e-05,0.0,0.0001,0.0015193995786830783,65.72528076171875,1.6188015937805176,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:false-lsdv:0-lgrd:1e-5-lcrl:1e-8-lsfn:0-ni:3-epoch=279-val_loss=0.00.ckpt
8,RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:true-lsdv:1e-3-lgrd:0-lcrl:0-lsfn:0-ni:3,version_8,True,10.0,512.0,0.001,True,0.0,0.0,0.0,0.0001,0.014653798192739487,124.70779418945312,4.949578285217285,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:true-lsdv:1e-3-lgrd:0-lcrl:0-lsfn:0-ni:3-epoch=459-val_loss=0.00.ckpt
9,RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:true-lsdv:1e-3-lgrd:0-lcrl:1e-8-lsfn:0-ni:3,version_9,True,10.0,512.0,0.001,True,1e-08,0.0,0.0,0.0001,0.0012378590181469917,74.7184829711914,1.5051311254501343,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:true-lsdv:1e-3-lgrd:0-lcrl:1e-8-lsfn:0-ni:3-epoch=1439-val_loss=0.00.ckpt
10,RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:true-lsdv:1e-3-lgrd:1e-5-lcrl:0-lsfn:0-ni:3,version_10,True,10.0,512.0,0.001,True,0.0,1e-05,0.0,0.0001,0.004552711732685566,103.60711669921875,2.756387233734131,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:true-lsdv:1e-3-lgrd:1e-5-lcrl:0-lsfn:0-ni:3-epoch=279-val_loss=0.00.ckpt
11,RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:true-lsdv:1e-3-lgrd:1e-5-lcrl:1e-8-lsfn:0-ni:3,version_11,True,10.0,512.0,0.001,True,1e-08,1e-05,0.0,0.0001,0.001057374058291316,67.10433197021484,1.3981297016143799,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:true-lsdv:1e-3-lgrd:1e-5-lcrl:1e-8-lsfn:0-ni:3-epoch=1619-val_loss=0.00.ckpt
12,RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:true-lsdv:0-lgrd:0-lcrl:0-lsfn:0-ni:3,version_12,True,10.0,512.0,0.0,True,0.0,0.0,0.0,0.0001,0.006623118184506893,116.21814727783203,3.1129181385040283,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:true-lsdv:0-lgrd:0-lcrl:0-lsfn:0-ni:3-epoch=279-val_loss=0.00.ckpt
13,RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:true-lsdv:0-lgrd:0-lcrl:1e-8-lsfn:0-ni:3,version_13,True,10.0,512.0,0.0,True,1e-08,0.0,0.0,0.0001,0.001325420569628477,73.60224151611328,1.5700123310089111,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:true-lsdv:0-lgrd:0-lcrl:1e-8-lsfn:0-ni:3-epoch=1279-val_loss=0.00.ckpt
14,RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:true-lsdv:0-lgrd:1e-5-lcrl:0-lsfn:0-ni:3,version_14,True,10.0,512.0,0.0,True,0.0,1e-05,0.0,0.0001,0.004737728275358677,106.26583862304688,2.6985011100769043,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:true-lsdv:0-lgrd:1e-5-lcrl:0-lsfn:0-ni:3-epoch=219-val_loss=0.00.ckpt
15,RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:true-lsdv:0-lgrd:1e-5-lcrl:1e-8-lsfn:0-ni:3,version_15,True,10.0,512.0,0.0,True,1e-08,1e-05,0.0,0.0001,0.014332883059978485,89.86514282226562,5.3816070556640625,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:true-lsdv:0-lgrd:1e-5-lcrl:1e-8-lsfn:0-ni:3-epoch=279-val_loss=0.00.ckpt
16,RFFMLP_run:333-ds:8-mlp:10-rff_num:512-df:false-lsdv:1e-3-lgrd:0-lcrl:0-lsfn:0-ni:3,version_16,True,10.0,512.0,0.001,False,0.0,0.0,0.0,0.0001,0.0047606066800653934,102.37345123291016,2.628858804702759,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:8-mlp:10-rff_num:512-df:false-lsdv:1e-3-lgrd:0-lcrl:0-lsfn:0-ni:3-epoch=619-val_loss=0.00.ckpt
17,RFFMLP_run:333-ds:8-mlp:10-rff_num:512-df:false-lsdv:1e-3-lgrd:0-lcrl:1e-8-lsfn:0-ni:3,version_17,True,10.0,512.0,0.001,False,1e-08,0.0,0.0,0.0001,0.0021494021639227867,62.29745101928711,1.8583881855010986,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:8-mlp:10-rff_num:512-df:false-lsdv:1e-3-lgrd:0-lcrl:1e-8-lsfn:0-ni:3-epoch=879-val_loss=0.00.ckpt
18,RFFMLP_run:333-ds:8-mlp:10-rff_num:512-df:false-lsdv:1e-3-lgrd:1e-5-lcrl:0-lsfn:0-ni:3,version_18,True,10.0,512.0,0.001,False,0.0,1e-05,0.0,0.0001,0.008482986129820347,96.7568588256836,3.5237984657287598,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:8-mlp:10-rff_num:512-df:false-lsdv:1e-3-lgrd:1e-5-lcrl:0-lsfn:0-ni:3-epoch=739-val_loss=0.00.ckpt
19,RFFMLP_run:333-ds:8-mlp:10-rff_num:512-df:false-lsdv:1e-3-lgrd:1e-5-lcrl:1e-8-lsfn:0-ni:3,version_19,True,10.0,512.0,0.001,False,1e-08,1e-05,0.0,0.0001,0.002090289257466793,67.92131805419922,1.8379905223846436,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:8-mlp:10-rff_num:512-df:false-lsdv:1e-3-lgrd:1e-5-lcrl:1e-8-lsfn:0-ni:3-epoch=939-val_loss=0.00.ckpt
20,RFFMLP_run:333-ds:8-mlp:10-rff_num:512-df:false-lsdv:0-lgrd:0-lcrl:0-lsfn:0-ni:3,version_20,True,10.0,512.0,0.0,False,0.0,0.0,0.0,0.0001,0.047292035073041916,110.2438735961914,9.469955444335938,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:8-mlp:10-rff_num:512-df:false-lsdv:0-lgrd:0-lcrl:0-lsfn:0-ni:3-epoch=219-val_loss=0.00.ckpt
21,RFFMLP_run:333-ds:8-mlp:10-rff_num:512-df:false-lsdv:0-lgrd:0-lcrl:1e-8-lsfn:0-ni:3,version_21,True,10.0,512.0,0.0,False,1e-08,0.0,0.0,0.0001,0.0787043422460556,115.84239959716797,12.242225646972656,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:8-mlp:10-rff_num:512-df:false-lsdv:0-lgrd:0-lcrl:1e-8-lsfn:0-ni:3-epoch=1319-val_loss=0.00.ckpt
22,RFFMLP_run:333-ds:8-mlp:10-rff_num:512-df:false-lsdv:0-lgrd:1e-5-lcrl:0-lsfn:0-ni:3,version_22,True,10.0,512.0,0.0,False,0.0,1e-05,0.0,0.0001,0.036449700593948364,105.83929443359375,8.339345932006836,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:8-mlp:10-rff_num:512-df:false-lsdv:0-lgrd:1e-5-lcrl:0-lsfn:0-ni:3-epoch=179-val_loss=0.00.ckpt
23,RFFMLP_run:333-ds:8-mlp:10-rff_num:512-df:false-lsdv:0-lgrd:1e-5-lcrl:1e-8-lsfn:0-ni:3,version_23,True,10.0,512.0,0.0,False,1e-08,1e-05,0.0,0.0001,0.0748259425163269,114.9522705078125,11.87360668182373,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:8-mlp:10-rff_num:512-df:false-lsdv:0-lgrd:1e-5-lcrl:1e-8-lsfn:0-ni:3-epoch=1219-val_loss=0.00.ckpt
24,RFFMLP_run:333-ds:8-mlp:10-rff_num:512-df:true-lsdv:1e-3-lgrd:0-lcrl:0-lsfn:0-ni:3,version_24,True,10.0,512.0,0.001,True,0.0,0.0,0.0,0.0001,0.0654798075556755,112.2626953125,11.075590133666992,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:8-mlp:10-rff_num:512-df:true-lsdv:1e-3-lgrd:0-lcrl:0-lsfn:0-ni:3-epoch=139-val_loss=0.00.ckpt
25,RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:false-lsdv:1e-3-lgrd:0-lcrl:0-lsfn:1e-3-ni:4,version_27,True,10.0,512.0,0.001,False,0.0,0.0,0.001,0.0001,0.00026010419242084026,57.678916931152344,0.6186857223510742,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:false-lsdv:1e-3-lgrd:0-lcrl:0-lsfn:1e-3-ni:4-epoch=959-val_loss=0.00.ckpt
26,RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:false-lsdv:0-lgrd:0-lcrl:0-lsfn:1e-3-ni:4,version_29,True,10.0,512.0,0.0,False,0.0,0.0,0.001,0.0001,0.00028634932823479176,66.41342163085938,0.6278156042098999,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:false-lsdv:0-lgrd:0-lcrl:0-lsfn:1e-3-ni:4-epoch=299-val_loss=0.00.ckpt
27,RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:true-lsdv:1e-3-lgrd:0-lcrl:0-lsfn:1e-3-ni:4,version_31,True,10.0,512.0,0.001,True,0.0,0.0,0.001,0.0001,0.0012002396397292614,77.82421112060547,1.4962867498397827,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:true-lsdv:1e-3-lgrd:0-lcrl:0-lsfn:1e-3-ni:4-epoch=739-val_loss=0.00.ckpt
28,RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:true-lsdv:0-lgrd:0-lcrl:0-lsfn:1e-3-ni:4,version_33,True,10.0,512.0,0.0,True,0.0,0.0,0.001,0.0001,0.0010219283867627382,77.3956527709961,1.3847233057022095,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:true-lsdv:0-lgrd:0-lcrl:0-lsfn:1e-3-ni:4-epoch=639-val_loss=0.00.ckpt
29,RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:true-lsdv:0-lgrd:1e-5-lcrl:1e-8-lsfn:1e-3-ni:4,version_34,True,10.0,512.0,0.0,True,1e-08,1e-05,0.001,0.0001,0.0008374857134185731,74.17460632324219,1.2236626148223877,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:true-lsdv:0-lgrd:1e-5-lcrl:1e-8-lsfn:1e-3-ni:4-epoch=4419-val_loss=0.00.ckpt
30,RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:false-lsdv:1e-3-lgrd:1e-5-lcrl:1e-8-lsfn:1e-3-ni:4,version_35,True,10.0,512.0,0.001,False,1e-08,1e-05,0.001,0.0001,0.001394371734932065,50.79448318481445,1.5611013174057007,/home/dicarlo_d/Documents/Code/TurboSuperResultion/recipes/turbo2D/single_images/.torch_checkpoints/Turb2D-RFFMLP_run:333-ds:4-mlp:10-rff_num:512-df:false-lsdv:1e-3-lgrd:1e-5-lcrl:1e-8-lsfn:1e-3-ni:4-epoch=859-val_loss=0.00.ckpt
